name,type,lng,lat
中医养生,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19114596228145,39.153206032387764
棘善之家沙棘生活馆,医疗保健服务;医药保健销售店;医疗保健用品,117.1910127291371,39.1533707174181
美伊·问题皮肤双美机构·专业祛痘(鼓楼店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18044251153782,39.13945494485685
酷酷宠物诊所(东河沿大街店),医疗保健服务;动物医疗场所;宠物诊所,117.19335986403287,39.149760641587086
天津南开颐康堂中医门诊,医疗保健服务;诊所;诊所,117.17387013855036,39.14228328837891
河北老中西医医院,医疗保健服务;综合医院;综合医院,117.18977558486479,39.154583966015885
福箴堂,医疗保健服务;医药保健销售店;药房,117.17685991355279,39.14028297698749
爱耳康文化体验馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19293501504704,39.15128805437605
正双堂冬虫夏草直营,医疗保健服务;医药保健销售店;医疗保健用品,117.17618865313926,39.14050261921476
瑞派宠物医院(中山路店),医疗保健服务;动物医疗场所;宠物诊所,117.19069012379465,39.15407876884983
天津市中医药研究院附属医院体检中心,医疗保健服务;综合医院;三级甲等医院,117.17112850837202,39.14628980195689
天津市中医药研究院附属医院发热门诊,医疗保健服务;综合医院;三级甲等医院,117.17126282417186,39.14578635366214
猫友好医院(北柠分院),医疗保健服务;动物医疗场所;宠物诊所,117.19078827324263,39.15413989259812
天津市中医药研究院附属医院住院部,医疗保健服务;综合医院;三级甲等医院,117.17104135794126,39.14618670160449
天津市中医药研究院附属医院皮肤综合治疗科,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17091617223343,39.14579870125189
友格口腔(金纬路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19265841673858,39.152623815641164
雅尔口腔,医疗保健服务;专科医院;口腔医院,117.19406940920717,39.14612193812644
天津健颐医,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19353093594664,39.151271008570376
藏式健康管理中心(天津旗舰店·津京冀运营中心),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.1925922963805,39.152761627786816
文科优选全民健康生活店,医疗保健服务;医药保健销售店;医疗保健用品,117.19194618638858,39.153541126480775
北京同仁堂(金纬路店),医疗保健服务;医药保健销售店;药房|医疗保健服务;诊所;诊所,117.19307211712979,39.15215875185508
俊硕口腔,医疗保健服务;专科医院;口腔医院,117.17104176360961,39.150876894415184
天津河北华康医院,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19436949977461,39.14900667916626
天津市中医药研究院附属医院卒中中心,医疗保健服务;综合医院;三级甲等医院,117.17063665064858,39.14577319607949
天津市中医药研究院附属医院急诊部,医疗保健服务;综合医院;三级甲等医院,117.1705885585547,39.14578709816426
天津市中医药研究院附属医院,医疗保健服务;综合医院;三级甲等医院,117.17048833733578,39.14604675576616
筠未体质改善推拿艾灸整骨,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.1713191635597,39.15182584329183
老百姓大药房(黄纬路店),医疗保健服务;医药保健销售店;药房,117.1910526159092,39.1547689479362
天津同春中医门诊,医疗保健服务;诊所;诊所,117.17900201062412,39.13873479260318
斯达克助听器(河北区店),医疗保健服务;医药保健销售店;医疗保健用品,117.19371312658679,39.15197087746374
