id,name,type,typecode,lng,lat
BV10702453,鼓楼东(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17993358338985,39.139576960473185
BV10044988,滨海道(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19217874045289,39.14413712985228
BV10885857,新都市百货(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19315798081647,39.14637534942454
BV10041123,河北三马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18892004153284,39.155743856217086
BV10040258,新三条石大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1709556673641,39.1503620420352
BV10885859,金纬路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19296485695293,39.1529041362499
BV10040554,运河北路站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17038685487715,39.1483461889504
BV10044989,瑞海名苑(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19045536998397,39.141243073974266
BV09189350,东南角(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1841541878137,39.138391133962855
BV11682178,古文化街码头(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18738558813365,39.13922117952851
BV10885858,狮子林大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19545619475842,39.14848067768418
BV09219093,河滨花园(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18114840410792,39.15814901370467
BV09143177,北开大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17530293676901,39.156936159317475
BV10041122,河北五马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18515736725082,39.15854180807582
BV11430080,南城街东马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1822228937061,39.13773314456201
BV11270882,天津青旅(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16943159728964,39.144096954583226
BV11424332,河北七马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1815269729463,39.15897119706452
BV09459616,北营门桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17170846040558,39.155236531160725
BV10702451,黄纬路站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19281024045891,39.15588411232693
BV09284409,觉悟社纪念馆(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18992243620725,39.157641386019826
BV10040303,中研院附属医院(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16749779276405,39.145354585228446
BV09198871,第九八三医院(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1839881807979,39.15987198968687
BV10040522,十字街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19783077052932,39.14746287639668
BV11660684,胜利路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19243578664269,39.139040605533744
BV10040416,新货场(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19468305246768,39.14046229488222
BV09466306,时代广场(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18116524986893,39.13591336681455
BV09072878,胜利路滨海道(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19631413945012,39.143088222968345
BV10040418,平安街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19001218547386,39.137048871019836
BV11211763,南门(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17677830305728,39.136027390945905
BV10702450,宙纬路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19416215596958,39.15715149175229
BV10040553,御河湾(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16696987151356,39.15264023667414
BV10040415,昌海公寓(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19829178675566,39.14457029298192
BV09265933,鼓楼站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16948930048866,39.139410878697916
BV10040242,小伙巷(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1654002849941,39.149683065223115
BV11040905,西北角地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1653137751562,39.14453898540466
BV09135992,东南角地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18411659528354,39.13465532033189
BV10040679,兴安路南市(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18532162365786,39.13503317935031
BV09129107,日方里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1886188947173,39.1608922901174
BV10041041,先春园(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16460013999416,39.146815283998144
BV10040432,民主道(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19194035839426,39.13628547018274
BV11275350,意式风情区(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19232508243621,39.135330663813036
BV11521971,鼓楼地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17489905139573,39.13436195370264
BV09338214,建国道意风区地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19532841799649,39.137295200246
BV10041049,西马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16329185059921,39.14543266412473
BV10040523,小树林(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20178096386498,39.14887970658117
BV10041042,大丰桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16275823157385,39.15027176790591
BV10040729,陈家沟(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20203360357735,39.14640553900483
BV10040300,南马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16567412297925,39.13927882136566
BV09053292,志成路京津桥口(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1826443428886,39.163739340051755
BV09166602,新兆路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19975648052807,39.139286602422146
BV10040552,大丰西胡同(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16299430737158,39.15316947793658
BV09219095,月皓里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19362685298957,39.160999362147486
BV10773014,兴安路北安桥口(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18648593983579,39.13238277524026
BV09247246,西南角地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1680189349181,39.13622105238284
BV10041077,南市食品街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17868932407664,39.1317884179961
BV09053287,金狮桥地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20314736428888,39.15161694320298
BV10040727,东六经路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20192348501642,39.154135762590364
BV10041053,北安桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19083408213865,39.13249996203622
BV10041120,安定里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18015173772572,39.16513108925803
BV09138392,中山路地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19754271570946,39.16048167842065
BV10040701,新华路百货大楼(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18363321748515,39.13100268322045
BV10041040,铃铛阁(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16034333535923,39.14529524128012
BV10040726,昆纬路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.2001986372271,39.158626659566686
BV10042056,天津外国语学校(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18654487329636,39.165309169980716
BV10040310,宿纬路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19708497556346,39.161146598364546
BV11021793,新华路百货大楼(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18349605991773,39.13035883268879
BV09345633,秋实园(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20384242831254,39.142118571060315
BV09284416,辰曲里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19537535820055,39.16206045594602
BV10418424,汇和家园站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20261314368287,39.14009212801166
BV09337899,和平印象城(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18546940184879,39.13087894243642
BV10733773,新大路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20515286723949,39.1512158448112
BV11268625,西站南广场东(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15986044743586,39.15304970198944
BV10041430,大红桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16539188795447,39.160553567982454
BV10040240,西站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1599553623243,39.15511164832801
BV11399076,天津通莎客运站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20260736677018,39.138266219282066
BV10977355,南市旅馆街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17463502629809,39.13070067926745
BV10041375,黄河道西南角(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1637859249382,39.13642700347156
BV09433986,百货大楼(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18309146353448,39.129485651993775
BV09129108,辰良里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19314770026246,39.1642866538581
BV10995450,天津西站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15960268548332,39.15525990399933
BV10550058,通莎客运站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20260736677018,39.138266219282066
BV10691119,天津站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19978309556623,39.13470140408946
BV09428872,天津西站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16034304118362,39.155468157437525
BV10040399,天津站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20004640704576,39.135064562935895
BV11561943,自由道(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19642161937264,39.132611696858014
BV09354896,通莎汽车站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20260736677018,39.138266219282066
BV10040421,荣业大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17946208945745,39.12887657107583
BV10403543,大沽桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19481035697622,39.13164880656088
BV10041076,南门外大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17708274013253,39.12908413919302
BV11677847,金街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18935905715978,39.12966824835445
BV10041104,河北四马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19606004981533,39.1645910038088
BV10040798,世春里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15722074726955,39.151476748869506
BV11013635,禄安大街百货大楼(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18528235036162,39.1287549049092
BV10041606,康华里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15713456611347,39.14379119325119
BV11427260,翔宇公园(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16783316325086,39.131660457283616
BV10040683,北站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20008993619801,39.163012897923764
BV11430221,新开路地道(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20762461186291,39.14400229658775
BV09438256,天津站(后广场)(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20503743023868,39.13774178175322
BV11603821,天津站北广场(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20503743023868,39.13774178175322
BV10041321,南开二马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17108456462405,39.12942587659761
BV10483865,蓉芳里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18062434189721,39.12756344810035
BV11677850,天津站码头(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19831042975152,39.1317650326915
BV10041548,西关大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15718700365642,39.14111189964167
BV10041050,复兴路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15591010218274,39.14546293584375
BV09321006,天津站海河广场(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20199619307965,39.13342929533234
BV11430050,天泰路地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17796928722986,39.169104806156156
BV11268626,西站南广场西(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15487740929872,39.15179725144379
BV10040243,西于庄(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16713546909668,39.16613951989891
BV09522835,天津站前广场(公交站),交通设施服务;公交车站;公交车站相关,150700,117.2024127420456,39.1333239330732
BV10040477,西站南广场(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15487740929872,39.15179725144379
BV10977353,井冈山桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15449502047242,39.14938799341338
BV10041544,瑞德里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.15705708899787,39.1385571969086
BV10041055,李地大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.20964104754573,39.14175207340113
BV10042127,八一礼堂(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18755646157864,39.12666105279825
BV10483864,万全道(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18525061671252,39.1262183860215
BV10040677,保安大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17809694803874,39.12626268961654
BV09284412,新开河地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19724349463117,39.16675351167357
BV09130088,二纬路地铁站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.16841966155947,39.12856542558252
