id,name,type,typecode,lng,lat
B0K0YME672,河东区春华街社区卫生服务中心新天地社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.21468009648898,39.139089203596704
B0FFJRTU4V,天津市急救中心(河北分中心),医疗保健服务;急救中心;急救中心,090400,117.20260739325373,39.16181613193671
B0KDS5SOFO,理疗医院急救站点,医疗保健服务;急救中心;急救中心,090400,117.17022892351069,39.12969811831103
B0FFG0WT4E,天津市职业病防治院天津市工人医院急救中心,医疗保健服务;专科医院;专科医院|医疗保健服务;急救中心;急救中心,090200|090400,117.21057700148444,39.14170718549003
B001606Q8P,天津市急救中心,医疗保健服务;急救中心;急救中心,090400,117.21173503638344,39.142445048268215
B001608CIV,天津市医疗急救指挥中心(红桥分站),医疗保健服务;急救中心;急救中心,090400,117.15032922210474,39.152098853267674
B0FFHCQDA9,天津市中西医结合医院南开医院急救,医疗保健服务;急救中心;急救中心,090400,117.16476414879959,39.12555440612639
B001603751,天津市红桥区口腔医院,医疗保健服务;专科医院;口腔医院,090202,117.18110496362081,39.14522565886051
B001607Z94,天津爱馨口腔门诊,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,090202|090300,117.19230646632855,39.147888085470306
B001611YDC,君诚口腔(鼓楼院区),医疗保健服务;专科医院;口腔医院,090202,117.17553824891881,39.14212645189425
B0LUBCDZAB,麦芽口腔(东沿河大街分院),医疗保健服务;专科医院;口腔医院,090202,117.1907825921405,39.15154643211925
B0K6BCDKDF,天津微尔美口腔,医疗保健服务;专科医院;口腔医院,090202,117.17415433841506,39.15275853759109
B0GRPHK1S6,俊硕口腔,医疗保健服务;专科医院;口腔医院,090202,117.17104176360961,39.150876894415184
B0FFKNXCL5,雅尔口腔,医疗保健服务;专科医院;口腔医院,090202,117.19406940920717,39.14612193812644
B0GRCADL16,中康口腔,医疗保健服务;专科医院;口腔医院,090202,117.18749954550769,39.156873800499895
B0FFFWG5FZ,美奥口腔(天津总院),医疗保健服务;专科医院;口腔医院,090202,117.17793414939314,39.13812722768914
B00160EAZG,天津河北春晖口腔门诊部,医疗保健服务;专科医院;口腔医院,090202,117.19352657208222,39.15409631423876
B0G22CUBAR,雅泰口腔,医疗保健服务;专科医院;口腔医院,090202,117.19575821601302,39.15185012554255
B0FFILKIHV,怡然美口腔门诊,医疗保健服务;专科医院;口腔医院,090202,117.18981580440429,39.13754724717603
B0FFFA2BLE,红桥区口腔医院,医疗保健服务;专科医院;口腔医院,090202,117.16786129051357,39.15471066914352
B0HUUAQYUU,鑫昇口腔,医疗保健服务;专科医院;口腔医院,090202,117.19873234029323,39.14506664222723
B0GRUB4O56,天津河北仁恒口腔,医疗保健服务;专科医院;口腔医院,090202,117.19837889025564,39.15263559216293
B001603252,天津河北春雨齿科门诊部,医疗保健服务;专科医院;口腔医院,090202,117.19159988424691,39.15951800686366
B0FFMEMT7T,申兵口腔,医疗保健服务;专科医院;口腔医院,090202,117.19755255689476,39.153936591174606
B0KR4Z14G3,和平凯尔口腔,医疗保健服务;专科医院;口腔医院,090202,117.1809259359279,39.13502547627495
B0016165AA,尚典口腔,医疗保健服务;专科医院;口腔医院,090202,117.17119373482642,39.137585154360345
B0LUAHP397,中山齿科,医疗保健服务;专科医院;口腔医院,090202,117.1945996887122,39.15817256657992
B0JAGH9PTA,舒欣口腔(红桥店),医疗保健服务;专科医院;口腔医院,090202,117.16547917623627,39.15171100046983
B00160CPHT,康齿口腔门诊(狮子林大街),医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,090202|090300,117.19986448170494,39.1483603096897
B0LUF51K4R,长丰雅尔美种植·矫正口腔连锁,医疗保健服务;专科医院;口腔医院,090202,117.16586121785905,39.14131194883654
B0FFG14GGE,和平卓尔口腔,医疗保健服务;专科医院;口腔医院,090202,117.17966682720616,39.13386192617266
B0IU9DUJFE,宇辰口腔正畸种植美学中心,医疗保健服务;专科医院;口腔医院,090202,117.20058574268413,39.146072710337705
B0LD3LND79,理想口腔(河北店),医疗保健服务;专科医院;口腔医院,090202,117.17314744944717,39.16075891239551
B0KDS5TYFR,常乐口腔,医疗保健服务;专科医院;口腔医院,090202,117.19506804513209,39.13717387152873
B0IUXGBG61,皓雅康口腔,医疗保健服务;专科医院;口腔医院,090202,117.20135140025184,39.14889909597824
B0J3MHI7ZC,艾洁口腔,医疗保健服务;专科医院;口腔医院,090202,117.17617790219931,39.16204672367939
B0K6V7V02B,澳朗口腔,医疗保健服务;专科医院;口腔医院,090202,117.16282953015192,39.14897767545312
B0J1HG6XLD,凯尔口腔,医疗保健服务;专科医院;口腔医院,090202,117.17886647027328,39.133167904545424
B0FFFT0HAC,德倍尔口腔,医疗保健服务;专科医院;口腔医院,090202,117.19079979241737,39.134358783850644
B0I1VC0QIN,金蕾口腔,医疗保健服务;专科医院;口腔医院,090202,117.19956621634252,39.15515881719884
B0I34DH5FD,阳光树口腔,医疗保健服务;专科医院;口腔医院,090202,117.19003262929527,39.13379886482457
B0L09HCRQ9,爱康齿科(悦城分院),医疗保健服务;专科医院;口腔医院,090202,117.17252354256713,39.13507413753161
B0GR06UXX3,亮齿口腔(五马路店),医疗保健服务;专科医院;口腔医院,090202,117.19005102040275,39.16257266644721
B0FFKJ0AE6,知美口腔,医疗保健服务;专科医院;口腔医院,090202,117.1641760904419,39.14091203374014
B0FFMHCMIE,安洁口腔诊所,医疗保健服务;专科医院;口腔医院,090202,117.1959134415041,39.13604485142161
B0H10CX8A7,爱牙仕口腔,医疗保健服务;专科医院;口腔医院,090202,117.20003352298932,39.15776493629867
B001609UPD,泳良口腔(河北店),医疗保健服务;专科医院;口腔医院,090202,117.20142258270342,39.156111886945716
B0FFHSJ9LX,众邦口腔,医疗保健服务;专科医院;口腔医院,090202,117.18342477909091,39.1315959601873
B0FFJKZIB5,天津南开中诺口腔医院,医疗保健服务;专科医院;口腔医院,090202,117.1666033408219,39.13561976567784
B0FFIX5GZB,鑫成瑞口腔,医疗保健服务;专科医院;口腔医院,090202,117.16235766651273,39.14092362507209
B0JADUEA8Q,天津和平拜尔口腔医院,医疗保健服务;专科医院;口腔医院,090202,117.17515894932222,39.13106941971719
B0FFFE4KK6,河北星耀口腔门诊部,医疗保健服务;专科医院;口腔医院,090202,117.20552739700364,39.150528740797164
B0FFGXZFN7,月平口腔,医疗保健服务;专科医院;口腔医院,090202,117.18075771367904,39.1659906630116
B0H1DHMZ28,众大口腔,医疗保健服务;专科医院;口腔医院,090202,117.20527114643808,39.142193406952174
B0J014VT2E,奥雅齿誉口腔,医疗保健服务;专科医院;口腔医院,090202,117.16133086390408,39.139944296560486
B0K3JA3SSC,宝齿口腔(河北旗舰店),医疗保健服务;专科医院;口腔医院,090202,117.19959656015965,39.160680573829936
B0HU3C0449,天津和平众大口腔门诊部,医疗保健服务;专科医院;口腔医院,090202,117.18102793841982,39.12854057613608
B0GRC7E5QS,贝蓓口腔,医疗保健服务;专科医院;口腔医院,090202,117.17176171253936,39.130381557622506
B0FFF67O5K,皓齿佳口腔,医疗保健服务;专科医院;口腔医院,090202,117.17138810215533,39.129675290342355
B0FFHSYRVZ,天津河东佳尔口腔门诊部,医疗保健服务;专科医院;口腔医院,090202,117.20815704414511,39.14519223407103
B0016164GG,友好医院-口腔诊区,医疗保健服务;专科医院;口腔医院,090202,117.16444445121586,39.134179591618924
B0L0Z5F3XZ,天津市瑞津口腔医院,医疗保健服务;专科医院;口腔医院,090202,117.18512411022351,39.12850878090606
B0I24HIS8L,天津市口腔医院第二门诊部(南开),医疗保健服务;专科医院;口腔医院,090202,117.16887335328603,39.129851495524626
B0KKS7X1KT,铭齿口腔(摩登天空凤仪园店),医疗保健服务;专科医院;口腔医院,090202,117.17140112872156,39.129658324824376
B0K1CUGDQ6,柏忆口腔,医疗保健服务;专科医院;口腔医院,090202,117.15958201246842,39.136657018412826
